elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed
1.015,60,60,59.997,59.996,5,1,16.668,16.667,5.000,100.006,0.005,0.005,0.004,13.820,60
13.305,3405341,60,28.412,2.096,283813,32813,477.014,35.196,8.649,2862.086,34.305,217.263,0.023,218.619,38
14.686,3405386,60,32.587,2.311,283821,34587,432.638,30.687,8.206,2595.828,30.603,459.039,0.035,460.133,45
15.955,3405431,60,35.470,2.359,283826,34587,423.935,28.193,8.206,2543.611,28.127,421.910,0.026,422.833,45
17.217,3405476,60,35.653,2.374,283823,32816,421.267,28.048,8.649,2527.604,27.976,419.634,0.024,420.592,45
18.473,3405521,60,35.826,2.391,283828,34588,418.312,27.913,8.206,2509.871,27.847,417.704,0.024,418.656,45
19.745,3405566,60,35.369,2.358,283836,34588,424.000,28.274,8.206,2543.999,28.198,422.976,0.024,424.019,45
21.008,3405611,60,35.644,2.377,283841,34590,420.619,28.055,8.206,2523.713,27.987,419.805,0.024,420.791,45
22.271,3405656,60,35.636,2.367,283838,34590,422.407,28.061,8.206,2534.444,27.985,419.778,0.025,420.855,45
23.536,3405701,60,35.576,2.360,283843,32817,423.791,28.109,8.649,2542.744,28.042,420.636,0.024,421.598,45
24.799,3405746,60,35.617,2.376,283851,34591,420.868,28.076,8.206,2525.209,28.012,420.183,0.023,421.110,45
26.059,3405791,60,35.702,2.381,283856,34590,419.984,28.009,8.206,2519.903,27.943,419.143,0.023,420.104,45
27.325,3405836,60,35.562,2.363,283853,32818,423.212,28.120,8.649,2539.270,28.047,420.710,0.023,421.671,45
28.592,3405881,60,35.515,2.362,283858,34591,423.313,28.157,8.206,2539.877,28.084,421.261,0.025,422.310,45
29.861,3405926,60,35.456,2.355,283866,34593,424.548,28.204,8.206,2547.287,28.139,422.085,0.023,423.018,45
31.139,3405971,60,35.204,2.364,283871,34594,423.074,28.406,8.206,2538.443,28.338,425.071,0.024,426.047,45
32.421,3406016,60,35.115,2.331,283868,34593,428.913,28.478,8.206,2573.478,28.412,426.185,0.025,427.132,45
33.724,3406061,60,34.530,2.302,283873,32819,434.487,28.960,8.650,2606.923,28.887,433.312,0.023,434.303,45
35.048,3406106,60,33.981,2.255,283881,34594,443.472,29.429,8.206,2660.832,29.358,440.376,0.023,441.385,45
36.389,3406151,60,33.554,2.258,283886,34594,442.868,29.803,8.206,2657.211,29.739,446.085,0.024,447.009,45
37.729,3406196,60,33.599,2.230,283883,32822,448.355,29.762,8.649,2690.133,29.698,445.465,0.023,446.399,45
39.078,3406241,60,33.357,2.215,283888,34596,451.483,29.979,8.206,2708.897,29.909,448.630,0.024,449.643,45
40.424,3406286,60,33.427,2.215,283896,34596,451.479,29.916,8.206,2708.877,29.854,447.816,0.023,448.691,45
41.762,3406331,60,33.644,2.236,283901,34596,447.174,29.723,8.206,2683.041,29.657,444.858,0.025,445.808,45
43.087,3406376,60,33.965,2.270,283898,34597,440.529,29.442,8.206,2643.177,29.376,440.647,0.025,441.599,45
44.435,3406421,60,33.367,2.230,283903,32824,448.513,29.970,8.649,2691.080,29.908,448.617,0.024,449.509,45
45.758,3406466,60,34.020,2.238,283911,34598,446.798,29.394,8.206,2680.788,29.322,439.823,0.024,440.875,45
47.068,3406511,60,34.350,2.278,283916,34598,438.962,29.112,8.206,2633.771,29.048,435.714,0.024,436.649,45
48.383,3406556,60,34.215,2.283,283913,32825,438.005,29.227,8.649,2628.030,29.160,437.403,0.024,438.359,45
49.677,3406601,60,34.772,2.305,283918,34598,433.780,28.759,8.206,2602.678,28.689,430.338,0.033,431.305,45
50.979,3406646,60,34.565,2.330,283926,34599,429.183,28.931,8.206,2575.100,28.859,432.891,0.023,433.922,45
52.272,3406691,60,34.814,2.334,283931,34600,428.402,28.724,8.206,2570.414,28.659,429.878,0.024,430.828,45
53.549,3406736,60,35.243,2.345,283928,34601,426.472,28.375,8.206,2558.833,28.310,424.649,0.024,425.581,45
54.818,3406781,60,35.456,2.370,283933,32827,421.996,28.204,8.649,2531.979,28.137,422.056,0.023,423.016,45
56.095,3406826,60,35.234,2.364,283941,34600,423.053,28.382,8.206,2538.317,28.310,424.651,0.023,425.665,45
57.369,3406871,60,35.313,2.373,283946,34601,421.415,28.318,8.206,2528.492,28.255,423.825,0.024,424.729,45
58.659,3406916,60,34.881,2.320,283943,32829,430.953,28.669,8.649,2585.718,28.578,428.663,0.030,429.991,45
59.943,3406961,60,35.044,2.370,283948,34602,421.965,28.535,8.206,2531.793,28.462,426.924,0.025,427.930,45
61.212,3407006,60,35.475,2.365,283956,34604,422.784,28.189,8.206,2536.702,28.117,421.753,0.024,422.708,45
62.481,3407051,60,35.457,2.362,283961,34604,423.293,28.204,8.206,2539.756,28.135,422.025,0.026,423.015,45
63.803,3407096,60,34.037,2.365,283958,34603,422.882,29.380,8.206,2537.294,29.314,439.711,0.024,440.660,45
65.086,3407141,60,35.082,2.348,283963,32831,425.893,28.504,8.649,2555.355,28.432,426.474,0.024,427.531,45
66.366,3407186,60,35.149,2.353,283971,34605,424.953,28.450,8.206,2549.717,28.386,425.796,0.024,426.716,45
67.638,3407231,60,35.394,2.358,283976,34605,424.053,28.253,8.206,2544.320,28.183,422.741,0.025,423.760,45
68.907,3407276,60,35.456,2.365,283973,32833,422.868,28.204,8.649,2537.211,28.138,422.073,0.026,423.019,45
70.189,3407321,60,35.083,2.354,283978,34605,424.755,28.504,8.206,2548.530,28.438,426.564,0.024,427.518,45
71.464,3407366,60,35.307,2.361,283986,34606,423.502,28.323,8.206,2541.010,28.253,423.794,0.024,424.806,45
72.734,3407411,60,35.420,2.364,283991,34608,422.984,28.233,8.206,2537.902,28.161,422.412,0.024,423.380,45
74.009,3407456,60,35.294,2.353,283988,34607,425.066,28.334,8.206,2550.394,28.269,424.038,0.024,424.967,45
75.288,3407501,60,35.191,2.343,283993,32835,426.716,28.417,8.649,2560.293,28.342,425.128,0.025,426.215,45
76.558,3407546,60,35.431,2.369,284001,34609,422.180,28.224,8.206,2533.082,28.155,422.332,0.024,423.309,45
77.842,3407591,60,35.066,2.333,284006,34607,428.720,28.518,8.207,2572.318,28.427,426.408,0.024,427.370,45
79.120,3407636,60,35.207,2.346,284003,32836,426.342,28.403,8.649,2558.050,28.309,424.630,0.024,425.584,45
80.404,3407681,60,35.031,2.324,284008,34610,430.241,28.546,8.206,2581.445,28.455,426.818,0.024,427.826,45
81.681,3407726,60,35.254,2.350,284016,34610,425.472,28.366,8.206,2552.835,28.273,424.097,0.024,425.150,45
82.955,3407771,60,35.326,2.351,284021,34613,425.329,28.308,8.206,2551.973,28.212,423.178,0.025,424.118,45
84.230,3407816,60,35.285,2.359,284018,34611,423.867,28.341,8.206,2543.203,28.232,423.479,0.024,424.569,45
85.505,3407861,60,35.280,2.359,284023,32837,423.985,28.344,8.649,2543.910,28.246,423.694,0.025,424.611,45
86.774,3407906,60,35.474,2.367,284031,34613,422.491,28.189,8.206,2534.946,28.102,421.535,0.025,422.607,45
88.046,3407951,60,35.376,2.353,284036,34612,425.051,28.268,8.206,2550.304,28.168,422.525,0.025,423.597,45
89.325,3407996,60,35.175,2.338,284033,32840,427.787,28.430,8.649,2566.722,28.332,424.979,0.024,425.944,45
90.607,3408041,60,35.097,2.329,284038,34614,429.297,28.493,8.206,2575.781,28.396,425.940,0.026,426.952,45
91.885,3408086,60,35.231,2.338,284046,34613,427.798,28.384,8.206,2566.791,28.285,424.275,0.026,425.343,45
93.220,3408131,60,33.692,2.202,284051,34615,454.205,29.681,8.206,2725.231,29.603,444.045,0.024,445.029,45
