elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation
1.031,61,60,60.040,59.987,5,1,16.670,16.656,5.000,100.022,0.005,0.005,0.004,12.998,61,0.003,0.002,1.066,5.148
13.392,3405334,60,27.980,3.051,283815,34587,327.811,35.740,8.206,1966.864,35.126,217.783,0.025,218.658,31,4.800,25.962,35901.968,298897.613
14.400,3405364,60,29.754,1.997,283820,32813,500.711,33.609,8.650,3004.269,33.534,503.005,0.024,503.972,30,4.682,24.879,35887.800,298871.967
15.733,3405409,60,33.764,2.228,283820,34586,448.929,29.618,8.206,2693.576,29.548,443.214,0.026,444.227,45,4.628,22.237,35927.933,298818.778
17.032,3405454,60,34.631,2.312,283825,34589,432.573,28.876,8.206,2595.438,28.809,432.130,0.026,433.094,45,4.590,21.801,35928.267,298937.867
18.335,3405499,60,34.554,2.336,283822,34588,428.109,28.941,8.206,2568.654,28.873,433.088,0.024,434.047,45,4.582,21.770,35889.956,298865.222
19.689,3405544,60,33.224,2.212,283835,34587,452.132,30.099,8.206,2712.795,30.027,450.399,0.025,451.405,45,4.625,22.567,35968.022,298867.200
21.049,3405589,60,33.090,2.212,283835,32816,451.998,30.221,8.649,2711.986,30.151,452.262,0.024,453.223,45,4.600,22.604,35889.089,298948.689
22.428,3405634,60,32.642,2.198,283840,34589,454.873,30.635,8.206,2729.239,30.567,458.498,0.024,459.463,45,4.652,22.950,35890.933,298839.044
23.800,3405679,60,32.780,2.189,283837,34590,456.905,30.507,8.206,2741.428,30.423,456.346,0.025,457.487,45,4.625,22.775,35970.044,298918.600
25.187,3405724,60,32.441,2.152,283850,32818,464.765,30.825,8.649,2788.593,30.755,461.318,0.025,462.298,45,4.648,23.087,35891.733,298921.489
26.571,3405769,60,32.517,2.176,283850,34590,459.533,30.753,8.206,2757.201,30.690,460.346,0.027,461.259,45,4.629,22.992,35931.956,298850.289
27.942,3405814,60,32.831,2.195,283855,34591,455.663,30.459,8.206,2733.978,30.384,455.756,0.025,456.787,45,4.617,22.802,35930.956,298969.378
29.303,3405859,60,33.068,2.190,283852,34592,456.570,30.241,8.206,2739.421,30.168,452.519,0.023,453.534,45,4.612,22.722,35892.711,298895.222
30.649,3405904,60,33.421,2.225,283865,34592,449.488,29.922,8.206,2696.927,29.849,447.736,0.025,448.731,45,4.614,22.365,35972.467,298900.222
31.989,3405949,60,33.598,2.233,283865,32820,447.861,29.764,8.649,2687.168,29.694,445.413,0.025,446.414,45,4.569,22.368,35893.800,298981.711
33.368,3405994,60,32.631,2.148,283870,34593,465.505,30.646,8.206,2793.029,30.574,458.604,0.027,459.602,45,4.771,22.999,35895.244,298869.044
34.721,3406039,60,33.260,2.190,283867,34593,456.619,30.066,8.206,2739.717,29.995,449.923,0.025,450.946,45,4.651,22.633,35973.667,298950.111
36.033,3406084,60,34.281,2.289,283880,32820,436.863,29.171,8.650,2621.176,29.100,436.494,0.024,437.405,45,4.550,21.995,35894.111,298953.000
37.372,3406129,60,33.630,2.235,283880,34594,447.483,29.736,8.206,2684.899,29.666,444.994,0.025,445.974,45,4.629,22.289,35935.333,298881.178
38.685,3406174,60,34.253,2.283,283885,34595,438.017,29.194,8.206,2628.102,29.124,436.854,0.027,437.846,45,4.612,22.029,35935.711,299002.889
39.989,3406219,60,34.509,2.292,283882,34596,436.272,28.978,8.206,2617.634,28.908,433.622,0.024,434.601,45,4.543,21.812,35897.111,298926.867
41.315,3406264,60,33.941,2.276,283895,34596,439.332,29.463,8.206,2635.990,29.390,440.855,0.025,441.832,45,4.632,22.173,35976.778,298931.000
42.610,3406309,60,34.748,2.318,283895,32822,431.317,28.778,8.650,2587.904,28.705,430.582,0.035,431.636,45,4.527,21.728,35897.111,299013.756
43.904,3406354,60,34.787,2.327,283900,34596,429.784,28.746,8.206,2578.705,28.671,430.072,0.024,431.100,45,4.548,21.705,35897.489,298899.244
45.211,3406399,60,34.427,2.301,283897,34598,434.520,29.047,8.206,2607.119,28.974,434.614,0.025,435.657,45,4.593,21.914,35977.600,298982.289
46.513,3406444,60,34.552,2.299,283910,32824,435.021,28.942,8.649,2610.128,28.867,433.000,0.027,434.042,45,4.623,21.808,35899.067,298986.556
47.855,3406489,60,33.529,2.289,283910,34599,436.924,29.825,8.206,2621.545,29.749,446.235,0.026,447.255,45,4.694,22.447,35939.578,298911.489
49.228,3406534,60,32.785,2.137,283915,34599,467.988,30.502,8.206,2807.927,30.432,456.481,0.026,457.482,45,4.750,23.008,35939.822,299034.400
50.525,3406579,60,34.685,2.314,283912,34598,432.154,28.831,8.206,2592.926,28.760,431.395,0.025,432.358,45,4.586,21.753,35899.911,298958.378
51.829,3406624,60,34.514,2.317,283925,34600,431.641,28.974,8.206,2589.844,28.896,433.433,0.026,434.530,45,4.615,21.788,35979.400,298961.000
53.142,3406669,60,34.288,2.291,283925,32826,436.578,29.165,8.649,2619.471,29.092,436.386,0.025,437.394,45,4.589,22.003,35901.489,299046.778
54.437,3406714,60,34.745,2.312,283930,34600,432.538,28.781,8.206,2595.228,28.713,430.698,0.025,431.643,45,4.561,21.683,35902.267,298932.267
55.739,3406759,60,34.566,2.305,283927,34602,433.918,28.930,8.206,2603.509,28.862,432.924,0.025,433.910,45,4.605,21.819,35981.911,299012.289
57.052,3406804,60,34.263,2.272,283940,32827,440.189,29.186,8.650,2641.135,29.125,436.881,0.026,437.749,45,4.601,22.071,35902.756,299018.067
58.347,3406849,60,34.752,2.316,283940,34601,431.799,28.775,8.206,2590.792,28.699,430.479,0.026,431.552,45,4.547,21.747,35942.022,298943.000
59.651,3406894,60,34.512,2.297,283945,34603,435.418,28.975,8.206,2612.506,28.899,433.479,0.025,434.560,45,4.562,21.867,35943.067,299064.956
60.936,3406939,60,35.017,2.339,283942,34603,427.473,28.558,8.206,2564.838,28.478,427.171,0.026,428.300,45,4.506,21.534,35904.600,298991.956
62.240,3406984,60,34.492,2.298,283955,34604,435.106,28.992,8.206,2610.637,28.918,433.767,0.026,434.785,45,4.580,21.864,35983.867,298992.911
63.556,3407029,60,34.196,2.268,283955,32830,440.857,29.243,8.649,2645.144,29.177,437.654,0.024,438.608,45,4.626,22.009,35905.800,299077.222
64.852,3407074,60,34.723,2.316,283960,34603,431.733,28.800,8.206,2590.400,28.725,430.875,0.025,431.900,45,4.542,21.690,35905.644,298964.333
66.157,3407119,60,34.491,2.295,283957,34605,435.735,28.993,8.206,2614.411,28.925,433.874,0.025,434.853,45,4.620,21.858,35984.156,299042.800
67.470,3407164,60,34.278,2.267,283970,32831,441.117,29.173,8.649,2646.699,29.105,436.573,0.025,437.523,45,4.558,22.057,35906.556,299049.933
68.772,3407209,60,34.557,2.319,283970,34606,431.194,28.938,8.206,2587.161,28.862,432.926,0.025,433.981,45,4.602,21.771,35946.978,298976.556
70.080,3407254,60,34.406,2.291,283975,34608,436.536,29.065,8.205,2619.216,28.995,434.925,0.025,435.889,45,4.595,21.883,35947.311,299095.578
71.379,3407299,60,34.652,2.298,283972,34606,435.182,28.858,8.206,2611.090,28.785,431.774,0.025,432.809,45,4.567,21.771,35908.778,299023.467
72.678,3407344,60,34.626,2.308,283985,34606,433.353,28.880,8.206,2600.119,28.812,432.177,0.025,433.150,45,4.584,21.803,35986.800,299024.422
73.985,3407389,60,34.429,2.283,283985,32833,438.058,29.045,8.649,2628.347,28.969,434.540,0.025,435.538,45,4.582,21.899,35908.289,299107.222
75.271,3407434,60,34.990,2.337,283990,34607,427.929,28.580,8.206,2567.576,28.513,427.698,0.026,428.651,45,4.545,21.581,35909.956,298997.356
76.587,3407479,60,34.201,2.275,283987,34609,439.615,29.238,8.206,2637.692,29.176,437.635,0.024,438.539,45,4.588,22.007,35989.000,299075.822
77.901,3407524,60,34.251,2.311,284000,32835,432.658,29.196,8.649,2595.950,29.091,436.369,0.026,437.390,45,4.585,21.998,35910.867,299079.933
79.205,3407569,60,34.518,2.306,284000,34609,433.661,28.970,8.206,2601.964,28.873,433.090,0.025,434.079,45,4.592,21.827,35950.733,299008.067
80.506,3407614,60,34.565,2.297,284005,34610,435.314,28.931,8.206,2611.884,28.830,432.449,0.025,433.494,45,4.593,21.844,35949.822,299127.089
81.805,3407659,60,34.657,2.328,284002,34610,429.633,28.854,8.206,2577.801,28.761,431.411,0.024,432.413,45,4.579,21.732,35911.889,299053.711
83.098,3407704,60,34.793,2.325,284015,34611,430.057,28.742,8.206,2580.345,28.666,429.990,0.026,430.933,45,4.563,21.680,35991.422,299057.978
84.398,3407749,60,34.622,2.318,284015,32837,431.318,28.884,8.649,2587.908,28.789,431.838,0.024,432.826,45,4.585,21.780,35912.822,299139.467
85.694,3407794,60,34.718,2.326,284020,34611,429.913,28.804,8.206,2579.480,28.708,430.623,0.024,431.638,45,4.564,21.727,35914.267,299027.511
87.000,3407839,60,34.462,2.305,284017,34612,433.791,29.018,8.206,2602.743,28.911,433.666,0.026,434.802,45,4.622,21.865,35992.444,299107.844
88.345,3407884,60,33.451,2.216,284030,32837,451.194,29.894,8.650,2707.163,29.808,447.124,0.025,448.190,45,4.611,22.616,35913.111,299110.778
89.634,3407929,60,34.906,2.324,284030,34612,430.283,28.648,8.206,2581.697,28.553,428.296,0.025,429.264,45,4.537,21.642,35954.422,299039.644
90.941,3407974,60,34.439,2.287,284035,34615,437.349,29.036,8.206,2624.092,28.937,434.061,0.025,435.078,45,4.562,21.918,35954.756,299160.600
92.243,3408019,60,34.563,2.312,284032,34614,432.508,28.933,8.206,2595.046,28.838,432.575,0.024,433.603,45,4.579,21.848,35916.133,299084.667
93.546,3408064,60,34.536,2.292,284045,34614,436.220,28.955,8.206,2617.322,28.869,433.041,0.025,434.056,45,4.602,21.817,35995.711,299089.489
