elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation,neighborhood_lookup_estimated_ms_per_generation,row_update_and_next_estimated_ms_per_generation,lookup_samples
1.016,60,60,59.978,59.970,5,1,16.675,16.673,5.000,100.050,0.006,0.006,0.005,13.920,60,0.003,0.002,1.067,5.150,0.001,0.001,60
2.016,120,60,59.960,60.002,5,1,16.666,16.678,5.000,99.997,0.005,0.005,0.006,13.861,60,0.003,0.002,1.000,5.000,0.000,0.001,60
16.972,3405344,60,27.265,1.889,283819,34587,529.402,36.678,8.206,3176.413,35.744,244.252,0.026,245.218,41,4.852,26.573,35927.341,298847.634,9.939,16.634,5793
18.380,3405389,60,31.959,2.216,283828,32813,451.207,31.290,8.650,2707.240,31.224,468.356,0.025,469.312,45,4.651,23.713,35888.400,298935.711,9.921,13.793,6351
19.730,3405434,60,33.318,2.212,283820,34588,452.000,30.014,8.206,2711.998,29.949,449.242,0.024,450.167,45,4.685,22.823,35888.600,298817.289,9.549,13.274,6351
21.060,3405479,60,33.837,2.253,283819,34588,443.933,29.553,8.206,2663.598,29.485,442.271,0.025,443.219,45,4.599,22.500,35968.178,298901.178,9.444,13.056,6365
22.389,3405524,60,33.876,2.262,283834,32814,442.063,29.520,8.650,2652.377,29.454,441.806,0.024,442.757,45,4.648,22.416,35889.622,298907.311,9.525,12.891,6351
23.721,3405569,60,33.766,2.251,283843,34588,444.234,29.616,8.206,2665.407,29.550,443.256,0.024,444.195,45,4.628,22.490,35928.267,298828.800,9.618,12.872,6358
25.049,3405614,60,33.902,2.261,283835,34589,442.311,29.497,8.206,2653.865,29.429,441.437,0.025,442.412,45,4.584,22.424,35929.711,298953.178,9.692,12.733,6358
26.406,3405659,60,33.145,2.253,283834,34590,443.909,30.170,8.206,2663.453,30.102,451.537,0.024,452.497,45,4.666,22.949,35891.022,298879.200,10.077,12.873,6351
27.737,3405704,60,33.811,2.259,283849,34591,442.710,29.576,8.206,2656.258,29.503,442.549,0.025,443.504,45,4.576,22.518,35970.178,298880.889,9.449,13.069,6365
