elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,row_compute_estimated_ms_per_generation,next_insert_estimated_ms_per_generation,rows_evaluated_per_generation,timing_samples
1.032,61,60,60.018,60.040,5,1,16.656,16.662,5.000,99.934,0.005,0.003,0.001,0.000,0.000,5.148,61
9.078,3405354,60,39.906,4.343,283818,34588,230.236,25.059,8.206,1381.418,24.548,5.613,13.313,6.915,9.316,298852.451,7195
10.194,3405414,60,53.784,3.698,283823,34588,270.390,18.593,8.206,1622.339,18.521,4.865,9.966,6.669,4.836,298906.717,8482
11.282,3405474,60,55.149,3.673,283828,34590,272.281,18.133,8.205,1633.686,18.063,4.787,9.783,6.687,3.975,298850.083,8468
12.460,3405534,60,50.925,3.361,283833,34588,297.566,19.637,8.206,1785.398,19.572,5.112,10.416,6.768,5.562,298916.717,8482
13.683,3405594,60,49.042,3.271,283838,34590,305.722,20.391,8.206,1834.334,20.325,5.287,10.804,6.860,7.585,298860.083,8468
14.903,3405654,60,49.211,3.295,283843,34590,303.505,20.321,8.206,1821.030,20.258,5.259,10.772,6.683,6.351,298927.850,8482
16.125,3405714,60,49.087,3.263,283848,34592,306.461,20.372,8.206,1838.763,20.307,5.283,10.787,6.701,5.395,298871.217,8468
17.351,3405774,60,48.934,3.251,283853,34591,307.621,20.436,8.206,1845.725,20.366,5.341,10.788,6.674,6.141,298937.850,8482
18.575,3405834,60,49.033,3.235,283858,34592,309.138,20.394,8.206,1854.828,20.330,5.265,10.837,6.771,5.218,298881.217,8468
19.743,3405894,60,51.377,3.425,283863,34592,291.955,19.464,8.206,1751.731,19.396,5.064,10.391,6.879,4.333,298948.883,8482
20.904,3405954,60,51.677,3.476,283868,34594,287.682,19.351,8.206,1726.092,19.289,5.006,10.350,6.773,4.086,298892.450,8468
22.032,3406014,60,53.161,3.533,283873,34593,283.085,18.811,8.206,1698.509,18.743,4.881,10.087,6.784,3.958,298958.883,8482
23.152,3406074,60,53.573,3.606,283878,34594,277.289,18.666,8.206,1663.735,18.596,4.890,10.033,6.679,3.817,298902.450,8468
24.292,3406134,60,52.625,3.435,283883,34594,291.136,19.002,8.206,1746.817,18.939,4.991,10.249,6.887,4.139,298968.883,8482
25.405,3406194,60,53.924,3.589,283888,34596,278.662,18.545,8.206,1671.975,18.476,4.857,9.981,6.872,4.110,298914.717,8468
26.509,3406254,60,54.344,3.623,283893,34596,276.005,18.401,8.206,1656.030,18.334,4.831,9.899,6.802,3.838,298978.883,8482
27.616,3406314,60,54.213,3.652,283898,34596,273.800,18.446,8.206,1642.802,18.381,4.808,9.952,6.820,4.140,298924.717,8468
28.716,3406374,60,54.526,3.620,283903,34597,276.211,18.340,8.206,1657.266,18.268,4.795,9.879,6.840,3.983,298988.883,8482
29.805,3406434,60,55.112,3.671,283908,34598,272.411,18.145,8.206,1634.466,18.082,4.749,9.792,6.855,3.857,298935.967,8468
30.898,3406494,60,54.906,3.656,283913,34599,273.522,18.213,8.206,1641.134,18.144,4.766,9.796,6.761,4.168,298999.900,8482
32.001,3406554,60,54.380,3.603,283918,34599,277.571,18.389,8.206,1665.427,18.322,4.809,9.913,6.712,3.867,298945.967,8468
33.103,3406614,60,54.447,3.653,283923,34599,273.771,18.366,8.206,1642.625,18.300,4.797,9.887,6.688,3.819,299009.900,8482
34.198,3406674,60,54.793,3.636,283928,34601,274.997,18.251,8.206,1649.984,18.180,4.776,9.853,6.782,3.943,298957.100,8468
35.292,3406734,60,54.867,3.678,283933,34601,271.868,18.226,8.206,1631.209,18.163,4.762,9.826,6.709,3.926,299021.033,8482
36.389,3406794,60,54.693,3.645,283938,34602,274.317,18.284,8.206,1645.902,18.213,4.771,9.858,6.678,4.077,298967.100,8468
37.482,3406854,60,54.865,3.671,283943,34601,272.379,18.227,8.206,1634.273,18.165,4.773,9.825,6.775,4.109,299031.033,8482
38.590,3406914,60,54.179,3.543,283948,34604,282.238,18.457,8.206,1693.425,18.393,4.797,9.940,6.761,3.904,298977.850,8468
39.679,3406974,60,55.099,3.695,283953,34603,270.654,18.149,8.206,1623.925,18.080,4.750,9.789,6.726,3.827,299042.550,8482
40.771,3407034,60,54.930,3.649,283958,34605,274.084,18.205,8.206,1644.505,18.141,4.764,9.834,6.739,3.890,298987.850,8468
41.902,3407094,60,53.062,3.630,283963,34603,275.454,18.846,8.206,1652.726,18.765,4.888,10.194,7.046,4.139,299052.550,8482
42.994,3407154,60,54.926,3.637,283968,34606,274.949,18.206,8.206,1649.695,18.140,4.744,9.826,6.713,3.958,298997.850,8468
44.092,3407214,60,54.664,3.669,283973,34605,272.556,18.294,8.206,1635.334,18.226,4.793,9.847,6.655,4.563,299064.717,8482
45.191,3407274,60,54.562,3.649,283978,34608,274.082,18.328,8.206,1644.491,18.257,4.766,9.868,6.701,3.823,299007.950,8468
