elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,candidates,candidate_capacity,old_candidate_reserve,candidate_index_capacity,candidate_vector_growths
10.089,3405353,60,44.837,6.501,283814,34588,153.826,22.303,8.206,922.957,34588,120000,69192,262144,0
11.119,3405413,60,58.281,3.968,283819,32814,251.991,17.158,8.649,1511.946,36362,120000,65644,262144,0
12.142,3405473,60,58.646,3.936,283824,34590,254.041,17.052,8.205,1524.244,34590,120000,69196,262144,0
13.155,3405533,60,59.237,3.963,283829,32814,252.324,16.881,8.650,1513.942,36362,120000,65644,262144,0
14.169,3405593,60,59.141,3.936,283834,34590,254.096,16.909,8.206,1524.574,34590,120000,69196,262144,0
15.186,3405653,60,59.026,3.930,283839,32816,254.433,16.942,8.649,1526.599,36364,120000,65648,262144,0
16.204,3405713,60,58.910,3.932,283844,34592,254.303,16.975,8.205,1525.820,34592,120000,69200,262144,0
17.224,3405773,60,58.844,3.935,283849,32817,254.121,16.994,8.649,1524.726,36365,120000,65650,262144,0
18.233,3405833,60,59.463,3.959,283854,34592,252.600,16.817,8.206,1515.600,34592,120000,69200,262144,0
19.248,3405893,60,59.101,3.903,283859,32818,256.236,16.920,8.649,1537.418,36367,120000,65652,262144,0
20.261,3405953,60,59.229,3.938,283864,34594,253.957,16.884,8.206,1523.741,34594,120000,69204,262144,0
21.276,3406013,60,59.096,3.912,283869,32819,255.656,16.922,8.650,1533.934,36368,120000,65654,262144,0
22.299,3406073,60,58.645,3.871,283874,34594,258.322,17.052,8.206,1549.929,34594,120000,69204,262144,0
23.314,3406133,60,59.122,3.945,283879,32820,253.484,16.914,8.650,1520.903,36369,120000,65656,262144,0
24.330,3406193,60,59.088,3.925,283884,34596,254.778,16.924,8.206,1528.669,34596,120000,69208,262144,0
25.345,3406253,60,59.108,3.915,283889,32822,255.402,16.918,8.649,1532.411,36371,120000,65660,262144,0
26.361,3406313,60,59.070,3.925,283894,34596,254.788,16.929,8.206,1528.729,34596,120000,69208,262144,0
27.372,3406373,60,59.345,3.954,283899,32823,252.932,16.850,8.649,1517.593,36372,120000,65662,262144,0
28.384,3406433,60,59.243,3.953,283904,34598,252.975,16.880,8.206,1517.851,34599,120000,69212,262144,0
29.397,3406493,60,59.233,3.923,283909,32825,254.937,16.883,8.649,1529.619,36374,120000,65666,262144,0
30.402,3406553,60,59.746,3.985,283914,34599,250.960,16.738,8.206,1505.759,34599,120000,69214,262144,0
31.435,3406613,60,58.058,3.848,283919,32825,259.875,17.224,8.649,1559.252,36374,120000,65666,262144,0
32.500,3406673,60,56.313,3.693,283924,34601,270.777,17.758,8.206,1624.665,34601,120000,69218,262144,0
33.581,3406733,60,55.532,3.695,283929,32827,270.657,18.008,8.649,1623.940,36376,120000,65670,262144,0
34.696,3406793,60,53.792,3.675,283934,34602,272.108,18.590,8.206,1632.647,34602,120000,69220,262144,0
35.801,3406853,60,54.318,3.641,283939,32827,274.628,18.410,8.650,1647.768,36376,120000,65670,262144,0
36.952,3406913,60,52.143,3.644,283944,34604,274.415,19.178,8.206,1646.488,34604,120000,69224,262144,0
38.033,3406973,60,55.465,3.697,283949,32829,270.470,18.029,8.649,1622.821,36378,120000,65674,262144,0
39.120,3407033,60,55.202,3.601,283954,34605,277.663,18.115,8.206,1665.980,34605,120000,69226,262144,0
40.185,3407093,60,56.378,3.762,283959,32829,265.822,17.737,8.650,1594.931,36378,120000,65674,262144,0
41.275,3407153,60,55.012,3.684,283964,34606,271.475,18.178,8.206,1628.849,34606,120000,69228,262144,0
42.408,3407213,60,52.983,3.626,283969,32831,275.789,18.874,8.649,1654.734,36381,120000,65678,262144,0
43.522,3407273,60,53.828,3.505,283974,34608,285.297,18.578,8.205,1711.784,34608,120000,69232,262144,0
44.635,3407333,60,53.931,3.511,283979,32831,284.842,18.542,8.650,1709.052,36381,120000,65678,262144,0
45.723,3407393,60,55.135,3.721,283984,34609,268.735,18.137,8.205,1612.410,34609,120000,69234,262144,0
46.789,3407453,60,56.278,3.766,283989,32833,265.566,17.769,8.649,1593.394,36383,120000,65682,262144,0
47.859,3407513,60,56.098,3.720,283994,34611,268.844,17.826,8.205,1613.067,34611,120000,69238,262144,0
48.929,3407573,60,56.071,3.744,283999,32834,267.088,17.835,8.650,1602.525,36384,120000,65684,262144,0
49.987,3407633,60,56.718,3.772,284004,34611,265.113,17.631,8.206,1590.678,34611,120000,69238,262144,0
51.026,3407693,60,57.736,3.925,284009,32835,254.774,17.320,8.650,1528.645,36386,120000,65686,262144,0
52.078,3407753,60,57.042,3.833,284014,34613,260.896,17.531,8.205,1565.375,34613,120000,69242,262144,0
53.127,3407813,60,57.176,3.791,284019,32836,263.778,17.490,8.650,1582.669,36387,120000,65688,262144,0
54.164,3407873,60,57.860,3.939,284024,34613,253.897,17.283,8.206,1523.383,34613,120000,69242,262144,0
55.200,3407933,60,57.923,3.919,284029,32838,255.135,17.264,8.649,1530.808,36389,120000,65692,262144,0
56.240,3407993,60,57.690,3.861,284034,34615,259.020,17.334,8.206,1554.120,34615,120000,69246,262144,0
57.284,3408053,60,57.460,3.830,284039,32839,261.126,17.404,8.649,1566.758,36390,120000,65694,262144,0
58.315,3408113,60,58.204,3.870,284044,34615,258.367,17.181,8.206,1550.201,34615,120000,69246,262144,0
59.338,3408173,60,58.633,3.885,284049,32840,257.432,17.055,8.649,1544.595,36391,120000,65696,262144,0
60.366,3408233,60,58.387,3.930,284054,34618,254.455,17.127,8.205,1526.728,34618,120000,69252,262144,0
61.447,3408293,60,55.509,3.871,284059,32842,258.350,18.015,8.649,1550.098,36393,120000,65700,262144,0
62.474,3408353,60,58.443,3.909,284064,34618,255.846,17.111,8.206,1535.078,34618,120000,69252,262144,0
63.717,3408428,60,60.335,4.034,284077,32842,247.917,16.574,8.650,1487.500,36394,120000,69252,262144,0
64.894,3408499,60,60.297,4.296,284072,34618,232.754,16.584,8.206,1396.525,36395,120000,69252,262144,0
66.050,3408569,60,60.571,4.335,284093,34619,230.687,16.509,8.206,1384.125,34619,120000,69254,262144,0
67.147,3408636,60,61.049,4.457,284089,32843,224.370,16.380,8.650,1346.222,36395,120000,69252,262144,0
68.325,3408708,60,61.143,5.089,284093,32846,196.489,16.355,8.649,1178.932,36397,120000,69258,262144,0
69.414,3408774,60,60.602,5.493,284103,34622,182.060,16.501,8.206,1092.360,36398,120000,65708,262144,0
70.433,3408836,60,60.836,5.939,284103,32847,168.392,16.438,8.649,1010.352,36398,120000,69262,262144,0
71.485,3408900,60,60.855,6.753,284104,32847,148.091,16.432,8.649,888.543,36398,120000,69260,262144,0
