elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,60.024,60.046,5,1,16.654,16.660,5.000,99.923
2.048,122,60,59.992,59.996,5,1,16.668,16.669,5.000,100.006
13.851,59,60,59.000,59.998,121,4,16.667,16.949,30.250,100.004
15.951,113,5,4.918,59.987,105,4,16.670,203.317,26.250,100.021
16.968,118,5,4.918,60.011,113,4,16.664,203.334,28.250,99.982
17.984,123,5,4.918,59.997,121,4,16.668,203.324,30.250,100.006
19.001,128,5,4.918,60.006,97,4,16.665,203.333,24.250,99.990
20.018,133,5,4.918,59.994,113,4,16.668,203.316,28.250,100.009
32.901,152,5,4.918,59.996,97,4,16.668,203.332,24.250,100.006
35.067,160,5,4.918,60.005,97,4,16.665,203.323,24.250,99.991
64.700,167,5,4.918,60.008,296,3,16.664,203.333,98.667,99.986
65.700,172,5,5.000,59.996,312,3,16.668,200.003,104.000,100.006
66.716,177,5,4.918,60.001,228,3,16.666,203.321,76.000,99.999
67.733,182,5,4.918,60.000,248,3,16.667,203.321,82.667,100.000
68.750,187,5,4.918,59.993,241,3,16.669,203.327,80.333,100.012
69.766,192,5,4.918,60.010,231,3,16.664,203.324,77.000,99.983
70.783,197,5,4.918,59.998,238,3,16.667,203.329,79.333,100.003
71.800,202,5,4.918,60.009,277,3,16.664,203.332,92.333,99.985
72.816,207,5,4.918,59.999,283,3,16.667,203.332,94.333,100.001
73.833,212,5,4.918,59.995,271,3,16.668,203.324,90.333,100.009
74.849,217,5,4.918,59.998,254,4,16.667,203.321,63.500,100.004
75.849,222,5,5.000,59.996,269,4,16.668,200.002,67.250,100.006
76.866,227,5,4.918,59.995,273,3,16.668,203.321,91.000,100.008
77.883,232,5,4.918,59.999,253,4,16.667,203.337,63.250,100.001
78.899,238,5,5.902,60.002,269,3,16.666,169.445,89.667,99.997
79.916,243,5,4.919,59.998,337,3,16.667,203.313,112.333,100.004
80.916,248,5,5.000,59.983,345,3,16.671,200.005,115.000,100.028
81.933,253,5,4.918,59.994,375,3,16.668,203.321,125.000,100.010
82.949,258,5,4.918,59.996,375,3,16.668,203.326,125.000,100.007
83.966,263,5,4.918,60.004,356,4,16.665,203.319,89.000,99.993
84.983,268,5,4.918,59.995,385,4,16.668,203.337,96.250,100.009
85.999,273,5,4.918,60.001,324,4,16.666,203.327,81.000,99.998
87.016,278,5,4.918,60.012,319,4,16.663,203.334,79.750,99.980
88.032,283,5,4.918,60.009,362,4,16.664,203.325,90.500,99.984
89.033,288,5,4.999,59.994,366,4,16.668,200.021,91.500,100.011
90.049,293,5,4.919,60.021,421,4,16.661,203.302,105.250,99.966
91.066,298,5,4.918,59.992,392,4,16.669,203.323,98.000,100.013
92.082,303,5,4.918,60.007,324,4,16.665,203.334,81.000,99.988
93.099,309,5,5.902,60.006,345,4,16.665,169.439,86.250,99.990
94.116,314,5,4.918,60.007,396,4,16.665,203.325,99.000,99.988
95.132,319,5,4.918,60.005,337,4,16.665,203.327,84.250,99.991
96.149,324,5,4.918,59.996,323,4,16.668,203.338,80.750,100.007
97.166,329,5,4.918,59.994,285,4,16.668,203.319,71.250,100.010
98.182,334,5,4.918,60.000,298,4,16.667,203.323,74.500,100.000
99.199,339,5,4.918,59.995,293,4,16.668,203.331,73.250,100.008
100.215,344,5,4.918,60.005,273,4,16.665,203.328,68.250,99.992
101.232,349,5,4.918,60.010,252,4,16.664,203.329,63.000,99.984
102.249,354,5,4.918,60.000,261,4,16.667,203.321,65.250,100.000
103.265,359,5,4.918,60.015,264,4,16.662,203.324,66.000,99.975
104.282,365,5,5.901,59.998,275,4,16.667,169.459,68.750,100.003
105.299,370,5,4.919,60.007,303,4,16.665,203.302,75.750,99.989
106.299,375,5,5.000,60.005,354,4,16.665,200.018,88.500,99.991
107.315,380,5,4.919,59.997,357,4,16.667,203.305,89.250,100.005
108.315,385,5,5.000,59.994,355,4,16.668,200.009,88.750,100.010
109.332,390,5,4.919,60.006,364,4,16.665,203.311,91.000,99.989
110.332,395,5,4.999,60.010,361,4,16.664,200.025,90.250,99.984
111.348,400,5,4.919,60.007,351,4,16.665,203.304,87.750,99.988
112.349,405,5,5.000,60.002,337,5,16.666,200.009,67.400,99.997
113.365,410,5,4.919,60.021,403,5,16.661,203.313,80.600,99.966
114.365,415,5,5.000,60.003,373,5,16.666,200.009,74.600,99.996
115.382,420,5,4.918,59.993,372,5,16.669,203.331,74.400,100.012
116.398,425,5,4.918,60.005,343,5,16.665,203.317,68.600,99.991
117.398,430,5,5.000,59.999,342,5,16.667,200.001,68.400,100.001
118.415,435,5,4.918,60.004,347,5,16.665,203.315,69.400,99.993
119.415,440,5,5.000,60.003,291,5,16.666,200.003,58.200,99.995
120.415,445,5,5.000,59.998,298,5,16.667,200.008,59.600,100.003
121.432,450,5,4.919,60.002,359,5,16.666,203.308,71.800,99.996
122.432,455,5,5.000,60.004,317,5,16.665,200.010,63.400,99.993
123.448,460,5,4.918,59.996,359,5,16.668,203.320,71.800,100.007
124.448,465,5,5.000,59.993,364,5,16.669,200.008,72.800,100.012
125.465,470,5,4.918,60.002,378,5,16.666,203.344,75.600,99.996
126.481,475,5,4.919,60.006,369,5,16.665,203.303,73.800,99.990
127.482,480,5,5.000,60.004,346,5,16.665,200.006,69.200,99.993
128.498,486,5,5.902,59.998,388,5,16.667,169.431,77.600,100.004
129.515,491,5,4.918,60.006,381,5,16.665,203.321,76.200,99.991
130.531,496,5,4.918,59.999,368,5,16.667,203.324,73.600,100.001
131.531,501,5,5.000,60.013,421,5,16.663,200.000,84.200,99.979
132.548,506,5,4.918,59.998,407,5,16.667,203.320,81.400,100.003
133.548,511,5,5.000,59.999,411,5,16.667,200.003,82.200,100.002
134.565,516,5,4.918,60.012,447,5,16.663,203.323,89.400,99.980
135.581,521,5,4.918,59.983,381,5,16.671,203.330,76.200,100.028
136.598,526,5,4.918,60.005,359,5,16.665,203.322,71.800,99.992
137.614,531,5,4.919,60.429,354,5,16.548,203.290,70.800,99.289
138.630,536,5,4.922,60.033,327,5,16.657,203.181,65.400,99.945
139.630,541,5,4.999,59.976,329,5,16.673,200.055,65.800,100.040
140.631,546,5,4.997,59.929,325,5,16.686,200.110,65.000,100.118
141.647,551,5,4.921,60.041,314,5,16.655,203.216,62.800,99.931
142.664,556,5,4.917,60.056,329,5,16.651,203.378,65.800,99.907
143.680,561,5,4.921,59.991,315,5,16.669,203.228,63.000,100.016
144.684,566,5,4.979,59.402,310,5,16.835,200.853,62.000,101.008
145.696,572,5,5.928,59.994,288,5,16.668,168.677,57.600,100.010
146.697,577,5,4.997,59.909,327,5,16.692,200.139,65.400,100.151
147.712,582,5,4.929,60.834,277,5,16.438,202.891,55.400,98.629
148.728,587,5,4.918,60.052,320,5,16.652,203.325,64.000,99.914
149.731,592,5,4.987,59.967,338,5,16.676,200.540,67.600,100.054
150.747,597,5,4.919,59.922,313,5,16.688,203.289,62.600,100.130
151.761,602,5,4.930,60.878,320,5,16.426,202.824,64.000,98.558
152.778,607,5,4.919,60.037,336,5,16.656,203.305,67.200,99.938
153.781,612,5,4.987,59.910,351,5,16.692,200.538,70.200,100.150
154.797,617,5,4.918,59.999,341,5,16.667,203.330,68.200,100.002
155.814,622,5,4.920,60.612,311,5,16.498,203.261,62.200,98.990
156.814,627,5,4.997,59.938,343,5,16.684,200.126,68.600,100.103
157.830,632,5,4.922,60.639,353,6,16.491,203.173,58.833,98.946
158.847,637,5,4.918,59.987,317,6,16.670,203.333,52.833,100.022
159.863,642,5,4.922,60.613,343,6,16.498,203.187,57.167,98.989
160.863,647,5,4.998,59.948,349,6,16.681,200.063,58.167,100.087
161.880,653,5,5.902,59.465,345,6,16.817,169.443,57.500,100.900
162.880,657,5,3.999,59.999,363,6,16.667,250.052,60.500,100.002
163.895,663,5,5.912,59.445,334,6,16.822,169.134,55.667,100.933
164.911,668,5,4.919,59.945,337,6,16.682,203.283,56.167,100.091
